iter	Passed	Remaining
0	51	25547
1	98	24648
2	152	25328
3	210	26042
4	264	26216
5	311	25678
6	372	26238
7	430	26496
8	485	26463
9	536	26301
10	582	25884
11	634	25789
12	686	25725
13	740	25690
14	792	25632
15	838	25372
16	904	25692
17	960	25728
18	1012	25625
19	1057	25379
20	1103	25166
21	1159	25195
22	1212	25146
23	1267	25129
24	1317	25025
25	1366	24905
26	1422	24918
27	1472	24823
28	1521	24713
29	1559	24438
30	1599	24195
31	1649	24129
32	1698	24037
33	1746	23932
34	1797	23887
35	1858	23957
36	1908	23877
37	1957	23793
38	2009	23755
39	2054	23624
40	2100	23510
41	2143	23376
42	2207	23461
43	2259	23415
44	2320	23459
45	2362	23318
46	2408	23217
47	2458	23146
48	2513	23135
49	2558	23029
50	2600	22892
51	2639	22739
52	2688	22671
53	2743	22657
54	2797	22636
55	2840	22518
56	2880	22390
57	2927	22310
58	2967	22181
59	3021	22160
60	3070	22100
61	3123	22069
62	3180	22061
63	3224	21966
64	3271	21893
65	3326	21872
66	3364	21743
67	3407	21650
68	3451	21560
69	3503	21523
70	3556	21489
71	3602	21413
72	3649	21349
73	3702	21311
74	3756	21286
75	3808	21247
76	3857	21192
77	3899	21095
78	3953	21066
79	4002	21014
80	4055	20980
81	4107	20935
82	4145	20826
83	4188	20743
84	4237	20690
85	4289	20651
86	4332	20567
87	4380	20511
88	4432	20468
89	4489	20453
90	4543	20419
91	4598	20393
92	4639	20304
93	4684	20233
94	4723	20138
95	4772	20086
96	4823	20041
97	4871	19981
98	4906	19874
99	4965	19860
100	5020	19832
101	5069	19779
102	5117	19723
103	5162	19657
104	5206	19584
105	5263	19562
106	5313	19516
107	5354	19434
108	5404	19385
109	5450	19324
110	5494	19254
111	5535	19177
112	5583	19120
113	5623	19041
114	5666	18970
115	5717	18927
116	5765	18872
117	5812	18816
118	5871	18797
119	5924	18760
120	6071	19016
121	6119	18959
122	6163	18891
123	6209	18829
124	6263	18789
125	6306	18718
126	6348	18645
127	6405	18615
128	6448	18545
129	6494	18483
130	6538	18416
131	6585	18359
132	6629	18294
133	6684	18258
134	6736	18214
135	6793	18182
136	6854	18161
137	6896	18092
138	6937	18017
139	6978	17945
140	7022	17880
141	7069	17822
142	7115	17763
143	7157	17695
144	7202	17633
145	7269	17626
146	7327	17595
147	7379	17550
148	7428	17500
149	7469	17428
150	7512	17362
151	7561	17311
152	7760	17600
153	7818	17565
154	7871	17519
155	7916	17456
156	7956	17381
157	8002	17321
158	8051	17267
159	8098	17209
160	8137	17134
161	8190	17088
162	8264	17085
163	8312	17031
164	8363	16979
165	8401	16903
166	8441	16831
167	8492	16782
168	8539	16725
169	8590	16675
170	8632	16608
171	8679	16552
172	8722	16487
173	8771	16433
174	8813	16367
175	8861	16314
176	8907	16254
177	8947	16185
178	8990	16122
179	9044	16078
180	9093	16026
181	9149	15986
182	9187	15914
183	9230	15853
184	9281	15803
185	9327	15745
186	9375	15692
187	9417	15629
188	9461	15568
189	9511	15518
190	9563	15471
191	9614	15423
192	9657	15361
193	9703	15304
194	9750	15250
195	9804	15207
196	9855	15159
197	9910	15116
198	9949	15048
199	9997	14996
200	10048	14947
201	10099	14898
202	10138	14833
203	10179	14769
204	10218	14704
205	10261	14644
206	10317	14604
207	10369	14556
208	10415	14502
209	10463	14449
210	10519	14407
211	10565	14352
212	10614	14301
213	10661	14248
214	10702	14186
215	10751	14136
216	10808	14095
217	10861	14050
218	10925	14018
219	10985	13981
220	11043	13941
221	11098	13897
222	11158	13861
223	11200	13800
224	11253	13753
225	11309	13711
226	11361	13663
227	11409	13611
228	11456	13557
229	11495	13494
230	11532	13429
231	11643	13450
232	11715	13425
233	11761	13369
234	11811	13319
235	11862	13269
236	11912	13218
237	11947	13152
238	11997	13101
239	12045	13049
240	12094	12997
241	12136	12938
242	12191	12893
243	12231	12833
244	12278	12779
245	12330	12731
246	12375	12676
247	12418	12619
248	12460	12560
249	12503	12503
250	12542	12442
251	12591	12391
252	12637	12337
253	12682	12282
254	12727	12228
255	12777	12178
256	12815	12117
257	12864	12066
258	12917	12019
259	12961	11964
260	13007	11911
261	13060	11864
262	13107	11811
263	13159	11763
264	13217	11721
265	13260	11665
266	13307	11612
267	13368	11573
268	13411	11516
269	13460	11466
270	13497	11405
271	13542	11351
272	13593	11303
273	13640	11251
274	13693	11203
275	13738	11150
276	13779	11093
277	13820	11036
278	13865	10982
279	13908	10928
280	13960	10880
281	14003	10825
282	14049	10772
283	14110	10731
284	14161	10683
285	14213	10634
286	14262	10584
287	14301	10527
288	14355	10481
289	14402	10429
290	14444	10373
291	14491	10322
292	14545	10276
293	14597	10228
294	14647	10178
295	14699	10130
296	14746	10079
297	14796	10029
298	14836	9973
299	14882	9921
300	14933	9873
301	14981	9822
302	15028	9770
303	15069	9716
304	15116	9664
305	15172	9619
306	15226	9572
307	15269	9518
308	15317	9467
309	15364	9416
310	15421	9371
311	15467	9320
312	15517	9270
313	15561	9217
314	15609	9167
315	15661	9119
316	15706	9067
317	15748	9013
318	15799	8964
319	15843	8912
320	15900	8866
321	15945	8814
322	16001	8768
323	16039	8712
324	16087	8662
325	16137	8613
326	16186	8563
327	16235	8513
328	16279	8461
329	16360	8428
330	16421	8384
331	16458	8328
332	16504	8276
333	16544	8222
334	16588	8170
335	16630	8117
336	16681	8068
337	16734	8020
338	16781	7970
339	16831	7920
340	16882	7872
341	16929	7821
342	16976	7770
343	17030	7723
344	17090	7678
345	17139	7628
346	17192	7580
347	17239	7530
348	17295	7483
349	17338	7430
350	17382	7378
351	17424	7326
352	17479	7278
353	17529	7229
354	17576	7178
355	17618	7126
356	17674	7079
357	17723	7030
358	17773	6980
359	17827	6932
360	17872	6881
361	17914	6829
362	17971	6782
363	18019	6732
364	18066	6682
365	18116	6632
366	18163	6582
367	18217	6534
368	18272	6487
369	18319	6436
370	18361	6384
371	18411	6335
372	18459	6284
373	18501	6233
374	18546	6182
375	18584	6129
376	18649	6084
377	18737	6047
378	18782	5996
379	18824	5944
380	18872	5894
381	18914	5842
382	18967	5794
383	19015	5744
384	19065	5694
385	19112	5644
386	19173	5598
387	19226	5549
388	19278	5500
389	19327	5451
390	19372	5400
391	19417	5349
392	19460	5298
393	19505	5247
394	19555	5198
395	19610	5150
396	19657	5100
397	19699	5048
398	19742	4997
399	19785	4946
400	19824	4894
401	19944	4862
402	19995	4812
403	20056	4766
404	20104	4715
405	20150	4665
406	20208	4617
407	20258	4568
408	20308	4518
409	20352	4467
410	20396	4416
411	20447	4367
412	20507	4319
413	20562	4271
414	20614	4222
415	20663	4172
416	20717	4123
417	20775	4075
418	20842	4029
419	20897	3980
420	20943	3929
421	21022	3885
422	21076	3836
423	21124	3786
424	21171	3736
425	21240	3689
426	21296	3640
427	21357	3592
428	21409	3543
429	21476	3496
430	21537	3447
431	21589	3398
432	21639	3348
433	21831	3319
434	21898	3272
435	21959	3223
436	22017	3174
437	22073	3124
438	22120	3073
439	22169	3023
440	22218	2972
441	22269	2922
442	22323	2872
443	22387	2823
444	22445	2774
445	22485	2722
446	22540	2672
447	22595	2622
448	22655	2573
449	22704	2522
450	22747	2471
451	22804	2421
452	22851	2370
453	22896	2319
454	22938	2268
455	22987	2218
456	23041	2167
457	23093	2117
458	23142	2067
459	23197	2017
460	23245	1966
461	23297	1916
462	23354	1866
463	23401	1815
464	23452	1765
465	23491	1713
466	23540	1663
467	23589	1612
468	23641	1562
469	23716	1513
470	23767	1463
471	23807	1412
472	23853	1361
473	23898	1310
474	23944	1260
475	23983	1209
476	24021	1158
477	24069	1107
478	24120	1057
479	24174	1007
480	24220	956
481	24264	906
482	24306	855
483	24354	805
484	24400	754
485	24452	704
486	24496	653
487	24547	603
488	24597	553
489	24655	503
490	24703	452
491	24745	402
492	24787	351
493	24839	301
494	24887	251
495	24936	201
496	24983	150
497	25027	100
498	25078	50
499	25132	0
